# association of rgb,depth,groundtruth 
# rgb depth tx ty tz qx qy qz qw 
rgb/1311877813.991666.png depth/1311877813.991479.png -2.2591 -2.38 0.5901 0.1909 0.7167 -0.6507 -0.1627 
rgb/1311877814.025472.png depth/1311877814.023140.png -2.2591 -2.38 0.5901 0.1912 0.7165 -0.6508 -0.1629 
rgb/1311877814.057698.png depth/1311877814.055267.png -2.2593 -2.3799 0.5901 0.1916 0.7158 -0.6513 -0.1633 
rgb/1311877814.092773.png depth/1311877814.092791.png -2.2599 -2.3802 0.5903 0.1928 0.7145 -0.652 -0.1649 
rgb/1311877814.125650.png depth/1311877814.123165.png -2.2603 -2.3802 0.5903 0.1935 0.7144 -0.6518 -0.1654 
rgb/1311877814.157619.png depth/1311877814.156692.png -2.2602 -2.3803 0.5903 0.1944 0.7138 -0.6519 -0.1666 
rgb/1311877814.192280.png depth/1311877814.192304.png -2.26 -2.38 0.5902 0.1946 0.7145 -0.651 -0.1668 
rgb/1311877814.459596.png depth/1311877814.456024.png -2.2608 -2.379 0.5899 0.2049 0.7137 -0.647 -0.1732 
rgb/1311877814.525561.png depth/1311877814.523301.png -2.2613 -2.3793 0.5899 0.2072 0.7122 -0.6472 -0.1759 
rgb/1311877814.557521.png depth/1311877814.556202.png -2.2616 -2.3793 0.5899 0.2079 0.7117 -0.6473 -0.1767 
rgb/1311877814.592543.png depth/1311877814.592549.png -2.2619 -2.3793 0.5899 0.2092 0.7111 -0.6472 -0.1782 
rgb/1311877814.625509.png depth/1311877814.623620.png -2.2621 -2.3792 0.5899 0.2104 0.7109 -0.6467 -0.1793 
rgb/1311877814.657598.png depth/1311877814.655387.png -2.2625 -2.3793 0.5899 0.2118 0.7102 -0.6467 -0.1805 
rgb/1311877814.691422.png depth/1311877814.693802.png -2.2627 -2.3793 0.59 0.2128 0.7092 -0.647 -0.1819 
rgb/1311877814.725391.png depth/1311877814.724190.png -2.2628 -2.3789 0.59 0.2143 0.7091 -0.6464 -0.183 
rgb/1311877814.762696.png depth/1311877814.762709.png -2.2628 -2.3787 0.5899 0.216 0.7086 -0.6459 -0.1848 
rgb/1311877814.791103.png depth/1311877814.791113.png -2.2628 -2.3785 0.5899 0.2172 0.7085 -0.6452 -0.1859 
rgb/1311877814.825412.png depth/1311877814.823828.png -2.2627 -2.3777 0.5897 0.22 0.7089 -0.6434 -0.1874 
rgb/1311877814.859231.png depth/1311877814.859247.png -2.2631 -2.3777 0.5897 0.2213 0.7084 -0.6432 -0.1886 
rgb/1311877814.891052.png depth/1311877814.891063.png -2.2635 -2.3782 0.5896 0.2232 0.7066 -0.6442 -0.1895 
rgb/1311877814.925510.png depth/1311877814.923224.png -2.264 -2.3779 0.5898 0.2237 0.7064 -0.6437 -0.1912 
rgb/1311877814.959872.png depth/1311877814.960431.png -2.264 -2.3778 0.5897 0.2249 0.7065 -0.643 -0.1921 
rgb/1311877814.991205.png depth/1311877814.991213.png -2.2639 -2.3776 0.5895 0.2271 0.7061 -0.6425 -0.1926 
rgb/1311877815.025449.png depth/1311877815.025457.png -2.264 -2.3773 0.5895 0.2289 0.7058 -0.6418 -0.1937 
rgb/1311877815.060025.png depth/1311877815.060164.png -2.2643 -2.3773 0.5894 0.2299 0.7055 -0.6414 -0.1949 
rgb/1311877815.125416.png depth/1311877815.123732.png -2.2646 -2.3766 0.5896 0.2325 0.7058 -0.6392 -0.1981 
rgb/1311877815.163400.png depth/1311877815.163408.png -2.2648 -2.3765 0.5896 0.2342 0.7049 -0.6391 -0.1995 
rgb/1311877815.191571.png depth/1311877815.191578.png -2.265 -2.3765 0.5897 0.2356 0.7045 -0.6387 -0.2007 
rgb/1311877815.225555.png depth/1311877815.225566.png -2.2653 -2.3763 0.5897 0.2372 0.704 -0.6382 -0.2021 
rgb/1311877815.261250.png depth/1311877815.261292.png -2.2655 -2.3763 0.5897 0.2389 0.7037 -0.6375 -0.2032 
rgb/1311877815.291605.png depth/1311877815.291619.png -2.2653 -2.3764 0.5899 0.2402 0.7024 -0.6379 -0.2051 
rgb/1311877815.325427.png depth/1311877815.324132.png -2.2656 -2.3763 0.59 0.2412 0.7011 -0.6385 -0.2066 
rgb/1311877815.360528.png depth/1311877815.360672.png -2.2661 -2.3763 0.59 0.2427 0.7006 -0.638 -0.208 
rgb/1311877815.392278.png depth/1311877815.392296.png -2.2668 -2.3762 0.5898 0.2438 0.7012 -0.6368 -0.2084 
rgb/1311877815.425559.png depth/1311877815.423311.png -2.267 -2.3766 0.5898 0.2442 0.7015 -0.6362 -0.2087 
rgb/1311877815.461537.png depth/1311877815.461563.png -2.2671 -2.3759 0.5892 0.2482 0.701 -0.6347 -0.2102 
rgb/1311877815.491356.png depth/1311877815.491368.png -2.268 -2.3759 0.5894 0.2505 0.6986 -0.6356 -0.2128 
rgb/1311877815.525476.png depth/1311877815.523763.png -2.2683 -2.3759 0.5895 0.2519 0.6983 -0.6347 -0.2146 
rgb/1311877815.559086.png depth/1311877815.559093.png -2.2681 -2.3758 0.5894 0.2537 0.6992 -0.6328 -0.2151 
rgb/1311877815.591254.png depth/1311877815.591271.png -2.2683 -2.3758 0.5894 0.2552 0.6986 -0.6325 -0.2165 
rgb/1311877815.626326.png depth/1311877815.626331.png -2.2689 -2.3757 0.5895 0.2571 0.6976 -0.632 -0.2187 
rgb/1311877815.661978.png depth/1311877815.662056.png -2.2692 -2.3758 0.5894 0.259 0.6972 -0.6312 -0.22 
rgb/1311877815.691679.png depth/1311877815.691683.png -2.2695 -2.3759 0.5893 0.2606 0.6967 -0.6306 -0.2213 
rgb/1311877815.725655.png depth/1311877815.725663.png -2.27 -2.3758 0.5892 0.2632 0.6976 -0.6282 -0.2224 
rgb/1311877815.759140.png depth/1311877815.759156.png -2.2708 -2.3758 0.5893 0.2647 0.6948 -0.63 -0.2243 
rgb/1311877815.792670.png depth/1311877815.792678.png -2.2711 -2.3757 0.5892 0.2667 0.6948 -0.6285 -0.226 
rgb/1311877815.825424.png depth/1311877815.824023.png -2.2715 -2.3757 0.5892 0.2684 0.6942 -0.6279 -0.2277 
rgb/1311877815.862646.png depth/1311877815.862657.png -2.2718 -2.3757 0.5892 0.2702 0.6937 -0.6271 -0.2292 
rgb/1311877815.891448.png depth/1311877815.891812.png -2.2721 -2.3756 0.5892 0.2713 0.6937 -0.6262 -0.2302 
rgb/1311877815.925456.png depth/1311877815.924386.png -2.2729 -2.3758 0.5894 0.2734 0.6918 -0.6265 -0.2326 
rgb/1311877815.959475.png depth/1311877815.959489.png -2.2731 -2.3757 0.5894 0.2758 0.6918 -0.625 -0.2339 
rgb/1311877815.991435.png depth/1311877815.991445.png -2.2733 -2.3756 0.589 0.2768 0.6921 -0.6238 -0.2351 
rgb/1311877816.031231.png depth/1311877816.031251.png -2.2732 -2.3754 0.5889 0.2796 0.6914 -0.6225 -0.2372 
rgb/1311877816.059862.png depth/1311877816.059886.png -2.2731 -2.3747 0.5891 0.2801 0.6894 -0.6237 -0.2393 
rgb/1311877816.091086.png depth/1311877816.091092.png -2.2725 -2.3747 0.5892 0.2829 0.689 -0.6223 -0.2409 
rgb/1311877816.129751.png depth/1311877816.129776.png -2.2725 -2.3745 0.5886 0.2866 0.6886 -0.6212 -0.2402 
rgb/1311877816.158967.png depth/1311877816.158974.png -2.2728 -2.3733 0.5882 0.2864 0.6894 -0.6199 -0.2419 
rgb/1311877816.191596.png depth/1311877816.197246.png -2.2729 -2.3734 0.5888 0.2869 0.6881 -0.6199 -0.2449 
rgb/1311877816.228832.png depth/1311877816.234587.png -2.2733 -2.3733 0.5888 0.2882 0.6872 -0.6198 -0.246 
rgb/1311877816.259033.png depth/1311877816.260343.png -2.2739 -2.3734 0.5888 0.2899 0.6863 -0.6193 -0.2479 
rgb/1311877816.293882.png depth/1311877816.293716.png -2.2743 -2.3735 0.5888 0.2917 0.6846 -0.6195 -0.2499 
rgb/1311877816.327025.png depth/1311877816.327030.png -2.2745 -2.3733 0.5887 0.2933 0.6842 -0.6186 -0.2516 
rgb/1311877816.359068.png depth/1311877816.359074.png -2.2747 -2.3733 0.5887 0.2946 0.6835 -0.6181 -0.253 
rgb/1311877816.391086.png depth/1311877816.391358.png -2.2747 -2.3728 0.5887 0.2967 0.6833 -0.6166 -0.2547 
rgb/1311877816.491236.png depth/1311877816.491553.png -2.2753 -2.372 0.5887 0.3024 0.6811 -0.6144 -0.259 
rgb/1311877816.527392.png depth/1311877816.527461.png -2.2758 -2.3719 0.5886 0.3039 0.6806 -0.6136 -0.2605 
rgb/1311877816.559041.png depth/1311877816.559062.png -2.2763 -2.3719 0.5886 0.3048 0.68 -0.6134 -0.2616 
rgb/1311877816.591873.png depth/1311877816.591890.png -2.2764 -2.3717 0.5885 0.307 0.6799 -0.6118 -0.2631 
rgb/1311877816.629076.png depth/1311877816.634352.png -2.2769 -2.3719 0.5885 0.3085 0.6787 -0.6116 -0.2648 
rgb/1311877816.658934.png depth/1311877816.662051.png -2.2773 -2.3719 0.5886 0.3101 0.6776 -0.6114 -0.2663 
rgb/1311877816.691439.png depth/1311877816.691449.png -2.2779 -2.3719 0.5886 0.3125 0.6761 -0.6107 -0.2688 
rgb/1311877816.726857.png depth/1311877816.726867.png -2.2785 -2.3717 0.5888 0.3143 0.6745 -0.6106 -0.2711 
rgb/1311877816.759105.png depth/1311877816.759113.png -2.2791 -2.3717 0.5887 0.3162 0.6734 -0.6099 -0.273 
rgb/1311877816.828557.png depth/1311877816.828568.png -2.281 -2.3726 0.5886 0.3207 0.6721 -0.6075 -0.2765 
rgb/1311877816.858947.png depth/1311877816.858997.png -2.2816 -2.3729 0.5885 0.3229 0.672 -0.6059 -0.2777 
rgb/1311877817.061412.png depth/1311877817.061440.png -2.2869 -2.3742 0.5884 0.3374 0.6641 -0.6005 -0.2905 
rgb/1311877817.091883.png depth/1311877817.091919.png -2.2877 -2.3743 0.5881 0.3372 0.6622 -0.6018 -0.2927 
rgb/1311877817.128643.png depth/1311877817.128675.png -2.2885 -2.3744 0.588 0.3393 0.6613 -0.6006 -0.2947 
rgb/1311877817.230681.png depth/1311877817.230690.png -2.2907 -2.3748 0.588 0.3464 0.6589 -0.5963 -0.3005 
rgb/1311877817.259016.png depth/1311877817.259475.png -2.2912 -2.3749 0.588 0.3478 0.6585 -0.5953 -0.3016 
rgb/1311877817.289275.png depth/1311877817.300618.png -2.2918 -2.3749 0.5881 0.3493 0.6576 -0.5945 -0.3036 
rgb/1311877817.559906.png depth/1311877817.559915.png -2.2989 -2.3756 0.5884 0.3676 0.6486 -0.5848 -0.3197 
rgb/1311877817.728646.png depth/1311877817.728760.png -2.3042 -2.3766 0.5884 0.3798 0.6402 -0.5808 -0.3294 
rgb/1311877817.759971.png depth/1311877817.759991.png -2.3053 -2.3765 0.5885 0.382 0.6394 -0.5792 -0.3313 
rgb/1311877817.789376.png depth/1311877817.796703.png -2.3059 -2.3765 0.5882 0.3837 0.6399 -0.5772 -0.3319 
rgb/1311877817.829434.png depth/1311877817.830880.png -2.3081 -2.3771 0.5882 0.3864 0.6375 -0.576 -0.3353 
rgb/1311877817.859349.png depth/1311877817.859359.png -2.3098 -2.3773 0.5885 0.3871 0.6366 -0.575 -0.3381 
rgb/1311877817.889415.png depth/1311877817.899719.png -2.3113 -2.3778 0.5886 0.3868 0.6352 -0.5759 -0.3396 
rgb/1311877818.126862.png depth/1311877818.126869.png -2.3203 -2.3791 0.5889 0.4036 0.6246 -0.5669 -0.3543 
rgb/1311877818.158877.png depth/1311877818.158916.png -2.321 -2.3791 0.5889 0.4072 0.6234 -0.5644 -0.3565 
rgb/1311877818.229512.png depth/1311877818.229394.png -2.3251 -2.3797 0.589 0.4113 0.6185 -0.5633 -0.3621 
rgb/1311877818.289499.png depth/1311877818.297119.png -2.3273 -2.3798 0.5888 0.4174 0.616 -0.5589 -0.366 
rgb/1311877818.359023.png depth/1311877818.359029.png -2.3309 -2.3803 0.5892 0.4237 0.6114 -0.5557 -0.3714 
rgb/1311877818.389510.png depth/1311877818.398341.png -2.3322 -2.3803 0.5893 0.4254 0.6092 -0.5551 -0.3738 
rgb/1311877818.428147.png depth/1311877818.432697.png -2.3336 -2.3805 0.5893 0.4299 0.6087 -0.5515 -0.375 
rgb/1311877818.457861.png depth/1311877818.465589.png -2.3357 -2.3808 0.5895 0.432 0.6047 -0.5516 -0.3788 
rgb/1311877818.489980.png depth/1311877818.497076.png -2.3367 -2.3807 0.5892 0.4335 0.6044 -0.5499 -0.38 
rgb/1311877818.528357.png depth/1311877818.528683.png -2.3379 -2.3807 0.5894 0.4355 0.6026 -0.5486 -0.3825 
rgb/1311877818.557713.png depth/1311877818.565452.png -2.3399 -2.3804 0.5896 0.4387 0.6002 -0.5464 -0.3858 
rgb/1311877818.589458.png depth/1311877818.597398.png -2.3418 -2.3808 0.5897 0.4386 0.5979 -0.5473 -0.388 
rgb/1311877818.629385.png depth/1311877818.629393.png -2.3437 -2.381 0.5895 0.4411 0.596 -0.5459 -0.3902 
rgb/1311877818.657559.png depth/1311877818.669522.png -2.3443 -2.381 0.5895 0.4444 0.5967 -0.5425 -0.3899 
rgb/1311877818.689838.png depth/1311877818.696656.png -2.3457 -2.3804 0.5895 0.4484 0.5937 -0.5396 -0.3941 
rgb/1311877818.727990.png depth/1311877818.727997.png -2.3472 -2.3802 0.5895 0.451 0.5932 -0.5373 -0.395 
rgb/1311877818.757401.png depth/1311877818.763216.png -2.3489 -2.3802 0.5893 0.4524 0.591 -0.5365 -0.3977 
rgb/1311877818.789311.png depth/1311877818.794987.png -2.3506 -2.3806 0.5895 0.4532 0.5888 -0.5367 -0.3999 
rgb/1311877818.827226.png depth/1311877818.827233.png -2.3517 -2.38 0.5893 0.4569 0.5868 -0.5338 -0.4025 
rgb/1311877818.857457.png depth/1311877818.864240.png -2.3539 -2.3797 0.5895 0.4589 0.5825 -0.5335 -0.4068 
rgb/1311877818.957439.png depth/1311877818.965861.png -2.3587 -2.3795 0.5895 0.4658 0.5778 -0.5285 -0.4121 
rgb/1311877818.989328.png depth/1311877818.997868.png -2.3597 -2.3794 0.5894 0.4675 0.5767 -0.5271 -0.4135 
rgb/1311877819.026798.png depth/1311877819.026816.png -2.3622 -2.3795 0.5897 0.4685 0.5741 -0.5265 -0.4168 
rgb/1311877819.057291.png depth/1311877819.066530.png -2.3617 -2.3785 0.5891 0.4748 0.5744 -0.5203 -0.417 
rgb/1311877819.089308.png depth/1311877819.097530.png -2.3638 -2.3786 0.5892 0.477 0.5712 -0.5192 -0.4202 
rgb/1311877819.129339.png depth/1311877819.129346.png -2.3656 -2.3783 0.5892 0.4794 0.5684 -0.5175 -0.4234 
rgb/1311877819.157351.png depth/1311877819.165450.png -2.3664 -2.3782 0.5893 0.4829 0.568 -0.5145 -0.4236 
rgb/1311877819.189407.png depth/1311877819.196667.png -2.3681 -2.3778 0.5893 0.485 0.5652 -0.5132 -0.4265 
rgb/1311877819.227850.png depth/1311877819.227856.png -2.3691 -2.3773 0.5892 0.4882 0.5631 -0.511 -0.4283 
rgb/1311877819.257478.png depth/1311877819.264660.png -2.3702 -2.3769 0.5893 0.4898 0.561 -0.51 -0.4304 
rgb/1311877819.289356.png depth/1311877819.296621.png -2.3716 -2.3765 0.5895 0.4926 0.5589 -0.508 -0.4324 
rgb/1311877819.329949.png depth/1311877819.329961.png -2.3728 -2.3761 0.5894 0.4953 0.5579 -0.5052 -0.4338 
rgb/1311877819.357433.png depth/1311877819.363029.png -2.3743 -2.3757 0.5896 0.4971 0.5548 -0.5045 -0.4366 
rgb/1311877819.389372.png depth/1311877819.395560.png -2.3762 -2.3752 0.5895 0.4984 0.5506 -0.5041 -0.4409 
rgb/1311877819.428005.png depth/1311877819.428110.png -2.3774 -2.3747 0.5895 0.5022 0.5495 -0.5005 -0.4419 
rgb/1311877819.457350.png depth/1311877819.465345.png -2.3791 -2.3746 0.5896 0.5044 0.5463 -0.4995 -0.4445 
rgb/1311877819.489362.png depth/1311877819.497259.png -2.3804 -2.3744 0.5895 0.5073 0.5454 -0.4963 -0.4459 
rgb/1311877819.526915.png depth/1311877819.531447.png -2.3827 -2.3742 0.5896 0.5097 0.5418 -0.4947 -0.4494 
rgb/1311877819.557471.png depth/1311877819.563666.png -2.3843 -2.3741 0.5895 0.5119 0.5405 -0.4927 -0.4505 
rgb/1311877819.589244.png depth/1311877819.595402.png -2.3856 -2.3736 0.5896 0.5145 0.5389 -0.4901 -0.4524 
rgb/1311877819.626949.png depth/1311877819.626958.png -2.3872 -2.3731 0.5896 0.5165 0.5362 -0.4885 -0.4551 
rgb/1311877819.657413.png depth/1311877819.666881.png -2.3888 -2.3726 0.5897 0.5183 0.5333 -0.4874 -0.4575 
rgb/1311877819.699018.png depth/1311877819.699032.png -2.3915 -2.3718 0.59 0.5218 0.5295 -0.4853 -0.4603 
rgb/1311877819.727070.png depth/1311877819.737540.png -2.3929 -2.3711 0.5899 0.5232 0.5265 -0.4842 -0.4632 
rgb/1311877819.757423.png depth/1311877819.764285.png -2.3946 -2.3704 0.5906 0.5234 0.5206 -0.4842 -0.4697 
rgb/1311877819.794896.png depth/1311877819.794906.png -2.3962 -2.37 0.5899 0.529 0.5218 -0.4789 -0.4676 
rgb/1311877819.825314.png depth/1311877819.832680.png -2.3981 -2.3695 0.59 0.5311 0.5183 -0.477 -0.471 
rgb/1311877819.857345.png depth/1311877819.865156.png -2.3996 -2.3691 0.5899 0.534 0.5158 -0.4744 -0.473 
rgb/1311877819.894791.png depth/1311877819.894796.png -2.4017 -2.3683 0.5895 0.5377 0.514 -0.4705 -0.4747 
rgb/1311877819.925329.png depth/1311877819.931859.png -2.4035 -2.3676 0.5897 0.5402 0.5114 -0.4684 -0.4767 
rgb/1311877819.957483.png depth/1311877819.964625.png -2.4056 -2.3668 0.5898 0.5426 0.5068 -0.4663 -0.481 
rgb/1311877819.997575.png depth/1311877819.999687.png -2.4077 -2.366 0.5897 0.5451 0.5037 -0.4637 -0.4839 
rgb/1311877820.025407.png depth/1311877820.031737.png -2.4089 -2.3655 0.5897 0.5471 0.502 -0.4617 -0.4853 
rgb/1311877820.057428.png depth/1311877820.064678.png -2.4115 -2.3647 0.5899 0.5499 0.497 -0.4594 -0.4894 
rgb/1311877820.098203.png depth/1311877820.098377.png -2.4139 -2.3635 0.5902 0.5534 0.4927 -0.4565 -0.4925 
rgb/1311877820.125294.png depth/1311877820.133050.png -2.4157 -2.3631 0.59 0.5565 0.4926 -0.4524 -0.4929 
rgb/1311877820.157381.png depth/1311877820.165293.png -2.4183 -2.3622 0.5897 0.5607 0.4906 -0.4479 -0.4943 
rgb/1311877820.197244.png depth/1311877820.197257.png -2.4234 -2.3599 0.5899 -0.5639 -0.4827 0.4452 0.5008 
rgb/1311877820.225327.png depth/1311877820.234112.png -2.4255 -2.3591 0.59 -0.5661 -0.4812 0.4426 0.502 
rgb/1311877820.257375.png depth/1311877820.270531.png -2.4298 -2.3578 0.5901 -0.5676 -0.4754 0.4412 0.5072 
rgb/1311877820.295642.png depth/1311877820.295655.png -2.4341 -2.3568 0.5901 -0.5713 -0.4721 0.4371 0.5095 
rgb/1311877820.325351.png depth/1311877820.332217.png -2.4366 -2.3555 0.5901 -0.5725 -0.4688 0.4358 0.5124 
rgb/1311877820.357383.png depth/1311877820.363611.png -2.4398 -2.3541 0.5901 -0.5763 -0.4668 0.432 0.5131 
rgb/1311877820.398128.png depth/1311877820.398157.png -2.4446 -2.3524 0.5899 -0.579 -0.4637 0.4283 0.5161 
rgb/1311877820.425382.png depth/1311877820.431493.png -2.4474 -2.3515 0.5901 -0.5816 -0.4609 0.4257 0.5178 
rgb/1311877820.457448.png depth/1311877820.464122.png -2.4508 -2.35 0.5899 -0.5837 -0.4577 0.4235 0.5201 
rgb/1311877820.497358.png depth/1311877820.497376.png -2.4566 -2.3481 0.5897 -0.5863 -0.4517 0.4197 0.5254 
rgb/1311877820.525446.png depth/1311877820.531485.png -2.4582 -2.3476 0.5895 -0.5898 -0.4533 0.4162 0.5229 
rgb/1311877820.557545.png depth/1311877820.563333.png -2.4612 -2.3461 0.5895 -0.5927 -0.4509 0.4128 0.5243 
rgb/1311877820.595197.png depth/1311877820.595206.png -2.4656 -2.3441 0.5897 -0.594 -0.4457 0.4115 0.5283 
rgb/1311877820.625465.png depth/1311877820.631164.png -2.4681 -2.3426 0.5898 -0.5959 -0.4436 0.4088 0.5301 
rgb/1311877820.657316.png depth/1311877820.663024.png -2.4716 -2.3407 0.5898 -0.597 -0.4396 0.4069 0.5337 
rgb/1311877820.699195.png depth/1311877820.699206.png -2.4777 -2.3381 0.5897 -0.6022 -0.4371 0.4014 0.534 
rgb/1311877820.725373.png depth/1311877820.733789.png -2.479 -2.3373 0.5897 -0.6027 -0.4353 0.4003 0.5356 
rgb/1311877820.757431.png depth/1311877820.766820.png -2.4859 -2.3336 0.5893 -0.6055 -0.4284 0.3961 0.5412 
rgb/1311877820.795222.png depth/1311877820.795240.png -2.4894 -2.3318 0.5893 -0.6084 -0.4249 0.3931 0.543 
rgb/1311877820.893484.png depth/1311877820.902013.png -2.5026 -2.3254 0.5892 -0.6149 -0.4149 0.3851 0.549 
rgb/1311877820.925154.png depth/1311877820.933008.png -2.5061 -2.3241 0.5891 -0.6176 -0.415 0.3818 0.5482 
rgb/1311877820.957312.png depth/1311877820.965968.png -2.5098 -2.3211 0.5894 -0.6199 -0.4104 0.3786 0.5513 
rgb/1311877820.993317.png depth/1311877821.001423.png -2.5154 -2.3181 0.59 -0.6188 -0.4031 0.378 0.5583 
rgb/1311877821.025357.png depth/1311877821.035275.png -2.5197 -2.315 0.5899 -0.6227 -0.3995 0.3734 0.5596 
rgb/1311877821.057425.png depth/1311877821.064764.png -2.5253 -2.3123 0.5895 -0.625 -0.397 0.3702 0.561 
rgb/1311877821.093395.png depth/1311877821.102838.png -2.532 -2.3083 0.5893 -0.6298 -0.3931 0.3637 0.5626 
rgb/1311877821.125316.png depth/1311877821.132000.png -2.5378 -2.3054 0.5896 -0.6319 -0.389 0.3631 0.5635 
rgb/1311877821.157379.png depth/1311877821.164357.png -2.5436 -2.3017 0.5889 -0.6333 -0.3874 0.3595 0.5654 
rgb/1311877821.193381.png depth/1311877821.199555.png -2.5502 -2.2972 0.589 -0.6363 -0.3814 0.355 0.5689 
rgb/1311877821.225344.png depth/1311877821.231533.png -2.5544 -2.2941 0.5887 -0.641 -0.3804 0.3502 0.5673 
rgb/1311877821.257362.png depth/1311877821.262992.png -2.5609 -2.2901 0.5888 -0.6411 -0.3763 0.3476 0.5714 
rgb/1311877821.293458.png depth/1311877821.300585.png -2.5659 -2.2867 0.5887 -0.6447 -0.3745 0.3439 0.5708 
rgb/1311877821.325502.png depth/1311877821.333912.png -2.5715 -2.2825 0.5886 -0.646 -0.3692 0.3404 0.5748 
rgb/1311877821.357419.png depth/1311877821.363125.png -2.5779 -2.2787 0.5885 -0.6472 -0.3654 0.3378 0.5775 
rgb/1311877821.393481.png depth/1311877821.403005.png -2.5837 -2.2742 0.5885 -0.649 -0.362 0.3345 0.5795 
rgb/1311877821.425393.png depth/1311877821.431484.png -2.5884 -2.2707 0.5882 -0.6529 -0.3586 0.3295 0.5801 
rgb/1311877821.457540.png depth/1311877821.464678.png -2.5937 -2.2663 0.5881 -0.6544 -0.3552 0.3268 0.5821 
rgb/1311877821.493387.png depth/1311877821.499747.png -2.5997 -2.2615 0.5879 -0.6577 -0.3505 0.3224 0.5837 
rgb/1311877821.525450.png depth/1311877821.531714.png -2.6049 -2.2574 0.5878 -0.6588 -0.3466 0.3196 0.5862 
rgb/1311877821.557435.png depth/1311877821.565605.png -2.61 -2.2533 0.5877 -0.6619 -0.3448 0.3156 0.586 
rgb/1311877821.593446.png depth/1311877821.602997.png -2.6155 -2.2483 0.5878 -0.664 -0.3386 0.3122 0.5891 
